Jugador_Base;Ranking;Jugador_Comparable;Correlacion_Pearson
Barry Larkin;4;Cass Michaels;0,7986
Barry Larkin;5;Randy Velarde;0,7968
Barry McCormick;1;Chris Iannetta;0,9831
Barry McCormick;2;Monte Irvin;0,9058
Barry McCormick;3;Whitey Lockman;0,8982
Barry McCormick;4;Leon Wagner;0,8926
Barry McCormick;5;Davy Force;0,8889
Ben Chapman;1;Birdie Tebbetts;0,8306
Ben Chapman;2;Al Smith;0,7766
Ben Chapman;3;Darryl Hamilton;0,7539
Ben Chapman;4;Gene Clines;0,749
Ben Chapman;5;George Metkovich;0,7463
Ben Oglivie;1;John Hummel;0,9047
Ben Oglivie;2;Bill Killefer;0,8567
Ben Oglivie;3;Kolten Wong;0,8531
Ben Oglivie;4;George Sisler;0,8459
Ben Oglivie;5;Lance Johnson;0,8324
Ben Taylor;1;Trea Turner;0,8451
Ben Taylor;2;Tom Brookens;0,7786
Ben Taylor;3;Johnny Temple;0,7429
Ben Taylor;4;Kendrys Morales;0,7411
Ben Taylor;5;Gus Mancuso;0,7146
Ben Zobrist;1;Jonny Gomes;0,8452
Ben Zobrist;2;Ira Flagstead;0,787
Ben Zobrist;3;Wil Myers;0,7567
Ben Zobrist;4;Alex Gonzalez;0,7508
Ben Zobrist;5;Miguel Rojas;0,7481
Bengie Molina;1;Mark DeRosa;0,8488
Bengie Molina;2;Otto Knabe;0,8389
Bengie Molina;3;Matty Alou;0,8253
Bengie Molina;4;Donovan Solano;0,7822
Bengie Molina;5;Steve Brodie;0,752
Benito Santiago;1;Curt Walker;0,807
Benito Santiago;2;Wayne Gross;0,8005
Benito Santiago;3;Danny Murphy;0,7977
Benito Santiago;4;Jimmy Bloodworth;0,7893
Benito Santiago;5;Randal Grichuk;0,7668
Bernard Gilkey;1;Amos Strunk;0,8966
Bernard Gilkey;2;Glenn Wright;0,8954
Bernard Gilkey;3;Paul Hines;0,8896
Bernard Gilkey;4;Rickie Weeks;0,8848
Bernard Gilkey;5;Russ Wrightstone;0,8669
Bernie Allen;1;Tommy Helms;0,8462
Bernie Allen;2;Hal Lanier;0,8361
Bernie Allen;3;Terry Puhl;0,7813
Bernie Allen;4;Miguel Rojas;0,7668
Bernie Allen;5;Mike Dorgan;0,7091
Bernie Friberg;1;Mark Loretta;0,9166
Bernie Friberg;2;Pete Incaviglia;0,9097
Bernie Friberg;3;George Metkovich;0,8979
Bernie Friberg;4;Orator Shafer;0,8677
Bernie Friberg;5;Jim Fregosi;0,8352
Bernie Williams;1;John Hummel;0,9183
Bernie Williams;2;Johnny Bates;0,8903
Bernie Williams;3;Jeff King;0,8812
Bernie Williams;4;Hank Severeid;0,8805
Bernie Williams;5;Daryl Boston;0,8583
Bert Campaneris;1;Rob Deer;0,9175
Bert Campaneris;2;Manny Sanguillen;0,8544
Bert Campaneris;3;Marty Cordova;0,8156
Bert Campaneris;4;Johnny Ray;0,775
Bert Campaneris;5;Hank Sauer;0,7598
Bibb Falk;1;Wilmer Flores;0,9268
Bibb Falk;2;Babe Ruth;0,9015
Bibb Falk;3;Mike Lamb;0,8927
Bibb Falk;4;Scott Spiezio;0,8702
Bibb Falk;5;Fred Carroll;0,8616
Bid McPhee;1;Brian Dozier;0,9098
Bid McPhee;2;Michael Brantley;0,8909
Bid McPhee;3;Russ Wrightstone;0,857
Bid McPhee;4;Willie Crawford;0,8217
Bid McPhee;5;Daryl Boston;0,7929
Bill Bergen;1;Nick Markakis;0,9373
Bill Bergen;2;Jo-Jo White;0,9185
Bill Bergen;3;Juan Rivera;0,8994
Bill Bergen;4;Hurley McNair;0,8885
Bill Bergen;5;Bill Bradley;0,8693
Bill Bradley;1;Jo-Jo White;0,9034
Bill Bradley;2;Hurley McNair;0,9007
Bill Bradley;3;Harlond Clift;0,8829
Bill Bradley;4;William Robinson;0,8731
Bill Bradley;5;Hank Bauer;0,8696
Bill Bruton;1;Baby Doll Jacobson;0,9002
Bill Bruton;2;George Gibson;0,8796
Bill Bruton;3;Glenallen Hill;0,8491
Bill Bruton;4;Harold Baines;0,8451
Bill Bruton;5;Germany Schaefer;0,8442
Bill Buckner;1;Max Muncy;0,9376
Bill Buckner;2;Alan Ashby;0,8456
Bill Buckner;3;Tony Phillips;0,8211
Bill Buckner;4;Cy Williams;0,8102
Bill Buckner;5;Juan Beniquez;0,8058
Bill Coughlin;1;Ken Oberkfell;0,9498
Bill Coughlin;2;Bill Virdon;0,9206
Bill Coughlin;3;Whitey Lockman;0,8883
Bill Coughlin;4;Jerry Adair;0,8657
Bill Coughlin;5;Skip Schumaker;0,8608
Bill Dahlen;1;Fred Carroll;0,8722
Bill Dahlen;2;Scott Brosius;0,8712
Bill Dahlen;3;Patrick Gillespie;0,8626
Bill Dahlen;4;Mike Hargrove;0,856
Bill Dahlen;5;Vance Law;0,8524
Bill Dickey;1;Carlos Lee;0,8909
Bill Dickey;2;Davey Johnson;0,8426
Bill Dickey;3;Bill Killefer;0,8384
Bill Dickey;4;Wally Pipp;0,8308
Bill Dickey;5;Rabbit Maranville;0,7966
Bill Doran;1;Aaron Hill;0,884
Bill Doran;2;Rollie Hemsley;0,8432
Bill Doran;3;Joe Carter;0,8337
Bill Doran;4;Bill Madlock;0,7878
Bill Doran;5;Omar Moreno;0,7725
Bill Freehan;1;Clint Thomas;0,775
Bill Freehan;2;Bill White;0,7508
Bill Freehan;3;Craig Reynolds;0,7409
Bill Freehan;4;Ken McMullen;0,7371
Bill Freehan;5;Gregg Jefferies;0,7367
Bill Hallman;1;Johnny Bates;0,9259
Bill Hallman;2;Mookie Wilson;0,9107
Bill Hallman;3;Didi Gregorius;0,8736
Bill Hallman;4;Kirk Gibson;0,8465
Bill Hallman;5;Jackie Jensen;0,8448
Bill Joyce;1;Al Cowens;0,9444
Bill Joyce;2;Mookie Betts;0,9291
Bill Joyce;3;Silver Flint;0,9005
Bill Joyce;4;Fernando Vina;0,8944
Bill Joyce;5;Orlando Cepeda;0,866
Bill Killefer;1;Robby Thompson;0,9599
Bill Killefer;2;Buddy Bell;0,9426
Bill Killefer;3;Fred McGriff;0,9417
Bill Killefer;4;Justin Smoak;0,9303
Bill Killefer;5;Carlos Lee;0,9219
Bill Kuehne;1;John Corkhill;0,8726
Bill Kuehne;2;Nick Swisher;0,8654
Bill Kuehne;3;Ken Reitz;0,8562
Bill Kuehne;4;Pedro Guerrero;0,834
Bill Kuehne;5;Frank Bolling;0,8227
Bill Madlock;1;Dave Magadan;0,8253
Bill Madlock;2;Billy Hatcher;0,8212
Bill Madlock;3;Corey Patterson;0,7928
Bill Madlock;4;Giancarlo Stanton;0,7904
Bill Madlock;5;Bill Doran;0,7878
Bill Mazeroski;1;Cool Papa Bell;0,8434
Bill Mazeroski;2;AJ Pollock;0,8288
Bill Mazeroski;3;David DeJesus;0,8194
Bill Mazeroski;4;Denis Menke;0,8125
Bill Mazeroski;5;Rafael Ramirez;0,8034
Bill McClellan;1;Charlie Jamieson;0,9814
Bill McClellan;2;Jerry Remy;0,9681
Bill McClellan;3;Sammy Sosa;0,9446
Bill McClellan;4;George Shoch;0,9404
Bill McClellan;5;Clyde Milan;0,9225
Bill Melton;1;Rougned Odor;0,964
Bill Melton;2;John Valentin;0,9161
Bill Melton;3;Ryan Howard;0,9043
Bill Melton;4;Charlie Bennett;0,8993
Bill Melton;5;Chuck Klein;0,8985
Bill Mueller;1;Salvador Perez;0,8781
Bill Mueller;2;Miller Huggins;0,8344
Bill Mueller;3;Lee Tannehill;0,8189
Bill Mueller;4;Bill Killefer;0,7998
Bill Mueller;5;Justin Smoak;0,7994
Bill Nicholson;1;Miguel Olivo;0,9296
Bill Nicholson;2;Jody Davis;0,8483
Bill Nicholson;3;Lee Handley;0,8367
Bill Nicholson;4;Don Mueller;0,8346
Bill Nicholson;5;Gary Ward;0,8286
Bill Phillips;1;Jerry Denny;0,9276
Bill Phillips;2;Wes Parker;0,9047
Bill Phillips;3;Ron Cey;0,8596
Bill Phillips;4;Buck Martinez;0,8588
Bill Phillips;5;Manny Ramirez;0,848
Bill Rariden;1;Goose Goslin;0,8982
Bill Rariden;2;Frank Taveras;0,897
Bill Rariden;3;George Foster;0,8902
Bill Rariden;4;Dode Paskert;0,8893
Bill Rariden;5;Tommy Dowd;0,8873
Bill Robinson;1;Kolten Wong;0,9447
Bill Robinson;2;Newt Allen;0,9158
Bill Robinson;3;Jeff King;0,9142
Bill Robinson;4;Clyde McCullough;0,8682
Bill Robinson;5;John Morrill;0,8629
Bill Russell;1;Keith Moreland;0,8266
